OTUId,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_34,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
OTU_85,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister,
OTU_603,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
OTU_192,Bacteria,Firmicutes,Clostridia,Clostridiales,[Tissierellaceae],Peptoniphilus,
OTU_173,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
OTU_1560,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],
OTU_1496,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
OTU_253,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,
OTU_717,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,
OTU_742,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,
OTU_307,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
OTU_245,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
OTU_51,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,anginosus
OTU_179,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,reuteri
OTU_67,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium,
OTU_193,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,intermedia
OTU_344,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
OTU_138,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],
OTU_49,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
OTU_1239,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,
OTU_765,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,
OTU_795,Bacteria,,,,,,
OTU_1616,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,mucilaginosa
OTU_308,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,
OTU_1121,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],
OTU_171,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,
OTU_1388,Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae,,
OTU_667,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,,
OTU_1680,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,
OTU_942,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
OTU_948,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,
OTU_58,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
OTU_103,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,
OTU_304,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
OTU_368,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Selenomonas,
OTU_706,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
